qid,quote
Q76," Namaste! Thank you Prime Minister Modi for your kind words and for the incredible hospitality you have shown me and my wife Michelle on this visit and let me say to the people of India how honoured I am to be the first American President to join you for Republic Day; and I'm told that this is also the first ever Radio address by an Indian Prime Minister and an American President together, so we're making a lot of history in a short time. Now to the people of India listening all across this great nation. It's wonderful to be able to speak you directly. We just come from discussions in which we affirmed that India and the United States are natural partners, because we have so much in common. We are two great democracies, two innovative economies, two diverse societies dedicated to empowering individuals. We are linked together by millions of proud Indian Americans who still have family and carry on traditions from India. And I want to say to the Prime Minister how much I appreciate your strong personal commitment to strengthening the relationship between these two countries. People are very excited in the United States about the energy that Prime Minister Modi is bringing to efforts in this country to reduce extreme poverty and lift people up, to empower women, to provide access to electricity, and clean energy and invest in infrastructure, and the education system. And on all these issues, we want to be partners. Because many of the efforts that I am promoting inside the United States to make sure that the young people get the best education possible, to make sure that the ordinary people are properly compensated for their labour, and paid fair wages, and have job security and health care. These are the same kinds of issues that Prime Minister Modi, I know cares so deeply about here. And I think there's a common theme in these issues. It gives us a chance to reaffirm what Gandhi ji reminded us, should be a central aim of our lives. And that is, we should endeavour to seek God through service of humanity because God is in everyone. So these shared values, these convictions, are a large part of why I am so committed to this relationship. I believe that if the United States and India join together on the world stage around these values, then not only will our peoples be better off, but I think the world will be more prosperous and more peaceful and more secure for the future. So thank you so much Mr. Prime Minister, for giving me this opportunity to be with you here today. All Americans should be deeply troubled by the fatal shootings of Alton Sterling in Baton Rouge, Louisiana and Philando Castile in Falcon Heights, Minnesota. We've seen such tragedies far too many times, and our hearts go out to the families and communities who've suffered such a painful loss. Although I am constrained in commenting on the particular facts of these cases, I am encouraged that the U.S. Department of Justice has opened a civil rights investigation in Baton Rouge, and I have full confidence in their professionalism and their ability to conduct a thoughtful, thorough, and fair inquiry. But regardless of the outcome of such investigations, what's clear is that these fatal shootings are not isolated incidents. They are symptomatic of the broader challenges within our criminal justice system, the racial disparities that appear across the system year after year, and the resulting lack of trust that exists between law enforcement and too many of the communities they serve. To admit we've got a serious problem in no way contradicts our respect and appreciation for the vast majority of police officers who put their lives on the line to protect us every single day. It is to say that, as a nation, we can and must do better to institute the best practices that reduce the appearance or reality of racial bias in law enforcement. That's why, two years ago, I set up a Task Force on 21st Century Policing that convened police officers, community leaders, and activists. Together, they came up with detailed recommendations on how to improve community policing. So even as officials continue to look into this week's tragic shootings, we also need communities to address the underlying fissures that lead to these incidents, and to implement those ideas that can make a difference. That's how we'll keep our communities safe. And that's how we can start restoring confidence that all people in this great nation are equal before the law. In the meantime, all Americans should recognize the anger, frustration, and grief that so many Americans are feeling -- feelings that are being expressed in peaceful protests and vigils. Michelle and I share those feelings. Rather than fall into a predictable pattern of division and political posturing, let's reflect on what we can do better. Let's come together as a nation, and keep faith with one another, in order to ensure a future where all of our children know that their lives matter. As another new moon heralds the "
Q6294," Donors in Saudi Arabia constitute the most significant source of funding to Sunni terrorist groups worldwideâ € ¦ Saudi Arabia remains a critical financial support base for al-Qaeda, the Taliban, LeT (Laskhar-e Taiba), and other terrorist groupsâ € ¦ It has been an ongoing challenge to persuade Saudi officials to treat terrorist financing emanating from Saudi Arabia as a strategic priority. â € Fast-forward to today, and clearly nothing has changed-except the Saudis are now backing terror groups like ISIS. Retired US Senator Bob Graham, a co-chair of the Joint Congressional Inquiry into the 9/11 attacks, connected those dots in an interview last year with Canadaâ € ™ s CBC Radio: â € œThe connection is a direct one. Not only has Saudi Arabia been promoting this extreme form of religion, but it also has been the principal financier, first of Al-Qaeda then of the various Al-Qaeda franchises around the world specifically the ones in Somalia and Yemen and now the support of ISIS. â € A few months later, US Vice President Joe Biden painted an updated picture of Saudi complicity in terror: â € œOur allies in the region were our largest problem in Syria. The Turksâ € ¦ the Saudis, the Emiratis, etc.. What were they doing? They were so determined to take down Assad and essentially have a proxy Sunni-Shia warâ € ¦ they poured hundreds of millions of dollars and tens, thousands of tons of weapons into anyone who would fight against Assad except that the people who were being supplied were al-Nusra and Al-Qaeda and the extremist elements of jihadis coming from other parts of the world. â € American complicity Biden and others, however, fail to mention the United Statesâ € ™ complicity in the Saudi terror-backing project. Writing about the WikiLeaks missive that revealed Saudi Arabiaâ € ™ s ongoing role in terror financing, the Guardian questioned American meekness in confronting this problem: â € œAny criticisms are generally offered in private. The cables show that when it comes to powerful oil-rich allies US diplomats save their concerns for closed-door talks. â € In all the current military theaters in the Middle East where extremist Sunni militants are waging wars against Arab populations, the United States is engaged militarily on the same side as the Saudis â € the highest, hardest glass ceiling, women in the U.S. remain significantly underrepresented at all levels of elected office. Women are more than half of the population but account for just a fifth of all U.S. representatives and senators, and one in four state lawmakers. They serve as governors of only six states and are mayors in roughly 19 percent of the nation's largest cities. There has been progress in recent decades. As recently as 1978, for example, there were no women U.S. senators. Now there are 20. Still, an analysis by The Associated Press shows there has been little headway since a surge of women won office in the 1980s and early 1990s. Like this: Like Loading... Advertisement More Headlines Previous post in this category Asian stock mixed on caution sets in after Wall Street cheer World News Next post in this category Democrats seek display of unity despite leadership shuffle World News Please enable JavaScript to view the comments powered by Disqus. Leave a Reply Cancel reply Enter your comment here... Fill in your details below or click an icon to log in: Email (required) (Address never made public) Name (required) Website You are commenting using your WordPress.com account. (Log Out / Change) You are commenting using your Twitter account. (Log Out / Change) You are commenting using your Facebook account. (Log Out / Change) You are commenting using your Google + account. (Log Out / Change) Cancel Connecting to% s Notify me of new comments via email. Notify me of new posts via email. Advertisement Trending on WWLP.com Photo Galleries PHOTOS: Gun rights rally at the state house Severe weather causes damage throughout Western Massachusetts 9 victims, gunman dead in Munich mall shooting Photos: Protesters outside Republican convention Safari park owner killed after being trampled by an animal Photos: Remembering those we've lost in 2016 Some Melania Trump speech lines mirror Michelle Obama speech Kenseth wins at NHMS, flunks post-race inspection Severe Thunderstorm Watch cancelled for all of western Massachusetts Photos: New Hampshire Motor Speedway NASCAR Weekend Photos: From July 14th Storms Current Conditions change location Chicopee 70 & deg; F 0 SE Wind 59 & deg; Dewpoint 69% Humidity 29.95 In retrospect what was supposed to be convenient has turned out to be anything but convenient. I have to say Jeff that the position that I have taken from the very beginning is the same today that it was months ago. And I've been thinking about the fact that, I get a lot of attention because I had a personal email account, as did other high-ranking officials in the State Department and elsewhere in the government and I had not sent classified material "
Q359442," Look, many of Trump's supporters are working-class people, and they're angry. And they're angry because they're working longer hours for lower wages. They're angry because their jobs have left this country and gone to China or other low-wage countries. And their angry because they can't afford to send their kids to college or retire with dignity. And I think what Trump has done successfully, I would say, is take that anger, take that anxiety about terrorism and say to a lot of people in this country is `look the reason for our problems is because of Mexicans.' And he says they are all criminals and rapists. We have to hate Mexicans. Or he says Muslims are all terrorist, keep them out of this country. That's what we have to deal with to make America great. Meanwhile interestingly enough, this is guy does not want to raise the minimum wage. In fact he said that he thinks wages in America are too high. But he does want to give hundreds of billions of dollars in tax breaks to the top three-tenths of one percent. So I think for his working-class and middle class supporters, I think we can make the case that if we really want to address the issues that people are concerned about. Why the middle class is disappearing, massive income and wealth inequality in this country. That we need policies that bring us together. That take on the greed of Wall Street the greed of corporate America and create a middle class that works for all of us, rather than an economy that works for just a few. Our hearts go out to everyone. We need to move aggressively to make sure that every person in this country who has the virus, who thinks they have the virus, understands they'll get all the health care that they need because they are Americans, that we move aggressively to make sure that the test kits are out there, that the ventilators are out there, that the I.C.U. units are out there, that the medical personnel are out there. Jake, if I may also say, in this moment of economic uncertainty in addition to the coronavirus, it is time to ask how we get to where we are -- not only our lack of preparation for the virus, but how we end up with an economy where so many of our people are hurting at a time of massive income and wealth inequality. It's time to ask the question of where the power is in America. Who owns the media? Who owns the economy? Who owns the legislative process? Why do we give tax breaks to billionaires and not raise the minimum wage? Where do we pump up the oil industry while a half million people are homeless in America? This is a time to move aggressively, dealing with the coronavirus crisis, dealing with the economic fallout. But it is also time to rethink America and create a country where we care about each other rather than a nation of greed and corruption, which is what is taking place among the corporate elite. Obviously, ISIS is an immediate threat. We need to have an international coalition to destroy ISIS. I believe that the boots on the ground have got to be the Muslim nations, and I agree with King Abdullah of Jordan, who made that very point. but not to understand what the scientists are telling us, that if we do not transform our energy system away from fossil fuel, you're going to see the mass migrations of tens and tens of millions of people, who are going to be moving away from coastal areas, who are going to be dealing with floods, who are going to be dealing with drought, who are going to be dealing with extreme weather disturbances, who are not going to be able to get fish from the oceans because of the acidification of the oceans. Not to understand that that will cause massive instability in this world, and more conflict is not to understand reality. that's what the cia says. that's what the u.s. department of defense says. that's what government all over the world point out. i believe that we have got to be extremely aggressive, leading the world, in understanding that we have a planetary crisis. and we have got to bring the world together if we're going to leave this planet in a habitable way for our children and grandchildren. Millions of Americans have had their lives impacted by the federal prohibition on marijuana -- arrests, convictions and even jail time. Even when people don't go to jail, the criminal record they receive makes it harder for them to find a job, get housing or go to college. Is this a widespread problem? It sure is. In 2016 alone, over half a million people were arrested for marijuana possession. These harmful impacts are felt far more acutely in communities of color and poor communities because enforcement of marijuana laws is much stricter there than in more affluent, white communities. Incredibly, African Americans are four times more likely to be arrested for marijuana even though marijuana usage rates are basically the same across racial lines. As a first step, we need to remove marijuana from Category 1 of the federal Controlled Substances Act where it is currently r"
Q170581," Good evening. I appreciate the opportunity to speak directly to the American people tonight about how we can end this shutdown and meet the needs of the American people. Sadly, much of what we have heard from President Trump throughout this senseless shutdown has been full of misinformation and even malice. The President has chosen fear. We want to start with the facts. The fact is: On the very first day of this Congress, House Democrats passed Senate Republican legislation to re-open government and fund smart, effective border security solutions. After the #TrumpAddress, @SenSchumer & I turned our focus to the facts & how we can end the #TrumpShutdown. pic.twitter.com/mSYoyUOFCZ -- Nancy Pelosi (@SpeakerPelosi) January 9, 2019 But the President is rejecting these bipartisan bills which would re-open government-over his obsession with forcing American taxpayers to waste billions of dollars on an expensive and ineffective wall - a wall he always promised Mexico would pay for! The fact is: President Trump has chosen to hold hostage critical services for the health, safety and well-being of the American people and withhold the paychecks of 800,000 innocent workers across the nation-many of them veterans. He promised to keep government shutdown for `months or years' - no matter whom it hurts. That's just plain wrong. The fact is: We all agree that we need to secure our borders, while honoring our values: we can build the infrastructure and roads at our ports of entry; we can install new technology to scan cars and trucks for drugs coming into our nation; we can hire the personnel we need to facilitate trade and immigration at the border; and we can fund more innovation to detect unauthorized crossings. The fact is: the women and children at the border are not a security threat, they are a humanitarian challenge - a challenge that President Trump's own cruel and counterproductive policies have only deepened. And the fact is: President Trump must stop holding the American people hostage, must stop manufacturing a crisis, and must re-open the government. Thank you. I haven't counted votes, nor will I.'  The outcome, though, appears increasingly set as the House prepares to vote, as it has only three times in history against a U.S. president. Trump spent part of the day tweeting against the impeachment proceedings, but did not immediately respond late Monday. The president and his allies have railed against the'  absurd'  proceedings. Pelosi convened a meeting of the impeachment committee chairmen at her office in the Capitol late Monday following an acrimonious, nearly 10-hour hearing at the Judiciary Committee, which could vote as soon as this week. by signing up you agree to our terms of service'  I think there's a lot of agreement,'  Rep. Eliot Engel of New York, the Democratic chairman of the Foreign Affairs committee, told reporters as he exited Pelosi's office.'  A lot of us believe that what happened with Ukraine especially is not something we can just close our eyes to.'  At the Judiciary hearing, Democrats said Trump's push to have Ukraine investigate rival Joe Biden while withholding U.S. military aid ran counter to U.S. policy and benefited Russia as well as himself.'  President Trump's persistent and continuing effort to coerce a foreign country to help him cheat to win an election is a clear and present danger to our free and fair elections and to our national security,'  said Dan Goldman, the director of investigations at the House Intelligence Committee, presenting the finding of the panel's 300-page report of the inquiry. Republicans rejected not just Goldman's conclusion of the Ukraine matter; they also questioned his very appearance before the Judiciary panel. In a series of heated exchanges, they said Rep. Adam Schiff, the chairman of the Intelligence Committee, should appear rather than sending his lawyer. From the White House, Trump tweeted repeatedly, assailing the'  Witch Hunt!'  and'  Do Nothing Democrats. Good evening. I appreciate the opportunity to speak directly to the American people tonight about how we can end this shutdown and meet the needs of the American people. Sadly, much of what we have heard from President Trump throughout this senseless shutdown has been full of misinformation and even malice. The President has chosen fear. We want to start with the facts. The fact is: On the very first day of this Congress, House Democrats passed Senate Republican legislation to re-open government and fund smart, effective border security solutions. But the President is rejecting these bipartisan bills which would re-open government-over his obsession with forcing American taxpayers to waste billions of dollars on an expensive and ineffective wall - a wall he always promised Mexico would pay for! The fact is: President Trump has chosen to hold hostage critical services for the health, safety and well-being of the American people and withhold the paychecks of 800,000 innocent wo"
Q11673," Late last night, the Senate passed a tax bill that slashes tax rates for corporations and is hugely advantageous for the wealthiest Americans. These cuts will be paid for by working and middle class families across our nation. It will hit New York hardest. With this plan, Republicans in Congress are robbing New Yorkers of billions of dollars, endangering the health care of millions of Americans, and exploding the federal deficit. The devastating impacts both intended, as well as unintended given the rushed, secretive approach taken in writing and voting on this plan cannot be overstated. To implement discredited trickle-down economics and repeal health care for millions under the cover of tax reform before the public, or even every Senator can be informed of the details in the plan, is proof positive of just how bad that plan is. The bill is financed in large part by almost entirely eliminating deductions of state and local taxes, a bedrock principle underpinning our tax law since its inception. Eliminating this deduction means that New York will effectively serve as a piggy bank to finance tax cuts for other states. This plan is a sham that does not deliver on the GOP promise to help the middle class. It reflects upside down priorities -- it helps the rich and corporations and does nothing to deliver on their false promise to our middle class citizens. The four members of the republican delegation, who supported the House version of this unfair, unequal and economically devastating plan, betrayed their constituents. It is now time for New York's entire Republican delegation to put New Yorkers first, vote the right way and tell their party leadership that they will not allow us to be pawns in a political agenda that inflicts financial pain on Democratic states at the direct expense of the Americans who call them home, all to benefit corporations and the wealthiest among us. Amazon chose to come to New York because we are the capital of the world and the best place to do business. We competed in and won the most hotly contested national economic development competition in the United States, resulting in at least 25,000-40,000 good paying jobs for our state and nearly $30 billion dollars in new revenue to fund transit improvements, new housing, schools and countless other quality of life improvements. Bringing Amazon to New York diversified our economy away from real estate and Wall Street, further cementing our status as an emerging center for tech and was an extraordinary economic win not just for Queens and New York City, but for the entire region, from Long Island to Albany's nanotech center. However, a small group politicians put their own narrow political interests above their community -- which poll after poll showed overwhelmingly supported bringing Amazon to Long Island City -- the state's economic future and the best interests of the people of this state. The New York State Senate has done tremendous damage. They should be held accountable for this lost economic opportunity. The fundamentals of New York's business climate and community that attracted amazon to be here-our talent pool, world-class education system, commitment to diversity and progressivism-remain and we won't be deterred as we continue to attract world class business to communities across New York State. The Statue of Liberty is symbolic for what's going on right now in Washington. The issue is about immigration and the sense that some people have that this country should close the doors and stop immigration. And speaking for myself, and on behalf of many New Yorkers, we have the Statue of Liberty in our harbor, Statue of Liberty, America, New York, are all about immigration. It's all about welcoming people, it's all about bringing people here. The concept of closing the doors to immigrants is repugnant to the concept of America. That's what we've been arguing for years. We're all sons and daughters of immigrants. Unless you're a Native American, you are an immigrant. I know people like to think, well I've been here a long time, I'm no longer an immigrant. You are an immigrant. Denial is not a life strategy. I am an immigrant. My grandparents were poor Italian uneducated people who came here, who couldn't speak the language, who couldn't read, but they wanted an opportunity to work. And they did their best and they gave back to this country. They had a son who became governor, they had a grandson who became governor. That's what America is all about. And in many ways, this shutdown in Washington, to me takes us back to that fundamental concept, which is they are against immigration. They want to close the doors and we want to keep them open. A few weeks ago we received terrible news. Sandy shared with me that she was diagnosed with breast cancer. I was devastated. After the news what followed was a blizzard of doctors visits, tests and discussions of treatment options. Sandy is young for her diagnosis, she has no family history, she"
Q380900," Thank you, Speaker Pelosi. My fellow Americans, we address you tonight for one reason only: the President of the United States-having failed to get Mexico to pay for his ineffective, unnecessary border wall, and unable to convince the Congress or the American people to foot the bill - has shut down the government. American democracy doesn't work that way. We don't govern by temper tantrum. No president should pound the table and demand he gets his way or else the government shuts down, hurting millions of Americans who are treated as leverage. Tonight - and throughout this debate and his presidency-President Trump has appealed to fear, not facts. Division, not unity. Make no mistake: Democrats and the President both want stronger border security. However, we sharply disagree with the President about the most effective way to do it. So, how do we untangle this mess? There is an obvious solution: separate the shutdown from the arguments over border security. There is bipartisan legislation-supported by Democrats and Republicans - to re-open government while allowing debate over border security to continue. There is no excuse for hurting millions of Americans over a policy difference. Federal workers are about to miss a paycheck. Some families can't get a mortgage to buy a new home. Farmers and small businesses won't get loans they desperately need. Most presidents have used Oval Office addresses for noble purposes. This president just used the backdrop of the Oval Office to manufacture a crisis, stoke fear, and divert attention from the turmoil in his Administration. My fellow Americans, there is no challenge so great that our nation cannot rise to meet it. We can re-open the government AND continue to work through disagreements about policy. We can secure our border without an expensive, ineffective wall. And we can welcome legal immigrants and refugees without compromising safety and security. The symbol of America should be the Statue of Liberty, not a thirty-foot wall. So our suggestion is a simple one: Mr. President: re-open the government and we can work to resolve our differences over border security. But end this shutdown now. Thank you. We already know that President Trump's nominee will be prepared to overturn the precedents of Roe v. Wade and NFIB v. Sebelius. We know that because President Trump has said so. When the president has a litmus test for his nominees, and only chooses from a pre-approved list of nominees designed to satisfy that litmus test, it is certainly not enough for a judge to prove his or her moderation by invoking stare decisis. Stare decisis and respect for precedent have become an almost meaningless bar to set for a Supreme Court nominee. At this critical juncture, with so many rights and liberties at stake, US senators and the American people should expect an affirmative statement of support for the personal liberties of all Americans from the next Supreme Court nominee. The American people deserve to know what kind of a justice President Trump's nominee would be. President Trump is the one who made the litmus test for his nominee, not us. The onus is on his nominee to show where he or she might stand. Considering the ample evidence that President Trump will only select a nominee who will undermine protection for Americans with pre-existing conditions, give greater weight to corporate interests than the interests of our citizens -- no what -- matter what precedent says -- and vote to overturn Roe v. Wade, the next nominee has an obligation, a serious and solemn obligation, to share their personal views on these legal issues, no matter whom President Trump selects tonight. What was the legal basis for conducting this operation and how far does that legal basis extend. Iran has many dangerous surrogates in the region and a whole range of possible responses. Which responses do we expect, which are most likely. Do we have plans to counter all of the possible responses. How effective will our counters be? What does this action mean for the long-term stability of Iraq and the trillions of dollars and thousands of American lives sacrificed there. How does the administration plan to manage an escalation of hostility. And how does this administration plan to avoid a larger and potentially endless conflagration in the Middle East. These are questions that must be answered. It is my view the president does not have the authority for a war with Iran if he plans a large increase of troops and hostility over time, the administration will require Congressional approval and approval of American approval. The President's decision may add to an already dangerous situation in the Middle East. The risk of a much longer engagement in the Middle East is acute and immediate. This action may well have brought our nation closer to an endless war. Exactly the kind of endless war, the president promised he would not drag us into. As our citizens and allies evacuate Iraq and Tripp's prepare for retalia"
Q6279," Fox News Sunday. â €  Even with the victory, the shortcomings of Biden's campaign remain, including a lack of robust funding and organization that have drawn concern from top allies. He is barely running any television advertising in Super Tuesday states. Bloomberg announced his own plan to deliver a three-minute prime-time address Sunday night on two television networks. He didn't say how much he paid for the air time, which is unprecedented in recent decades. And both Sanders and Bloomberg have many more staff and volunteers than Biden. Levelling his own direct attack on Sanders, Biden declared, â € œThe people aren't looking for revolution. They're looking for results. â €  Biden won about three times as many delegates in South Carolina as Sanders, his nearest rival, giving a momentary respite to anxious Democrats who feared that the democratic socialist would finish February with four consecutive top finishes that would make it difficult for anyone to overtake him. The Associated Press declared Biden the winner just after the polls closed in South Carolina. The AP based the call on data from AP VoteCast, a survey of the electorate conducted for the AP by NORC at the University of Chicago. The survey showed a convincing win for Biden. But Biden made an aggressive round of media appearances on Sunday in an effort to counter Bloomberg's massive spending. He's also working to secure endorsements from prominent Democrats and, shortly after the Saturday results were in, he got the backing of former Virginia Gov. Terry McAuliffe. Biden downplayed the lack of an endorsement from former President Barack Obama, whose name he often invokes on the campaign trail to voters nostalgic for his administration. Biden said on ABC he has to earn this â € œon my own. â €  The South Carolina primary was the first major test of the candidates' appeal among black voters. That courtship continued Sunday in Selma. A number of states that vote on Super Tuesday, including Alabama, Tennessee, North Carolina and Virginia, have substantial black populations. One of the candidates who spent recent weeks wooing black voters, billionaire activist Tom Steyer, ended his campaign on Saturday after a disappointing third-place finish. He spent more than $24 million on television advertising in South Carolina -- more than all of his rivals combined -- but never found a clear lane in the crowded contest. Trump weighed in on Twitter early Sunday, taunting Bloomberg -- as he often does potential rivals. The president suggested the billionaire's advisers are simply on a â € œgravy trainâ €  leading him down a â € œdark and lonely path It's not going to be long if it's this hot. Boy, I tell you what. My name is Joe Biden and I work for Hillary Clinton and whatever the hell this guy's name is. Well, Mr. President, Rick Bloomingdale, thanks for bringing me almost home. I've been in and out of Pittsburgh so many times in my career over the years as Senator and as Vice President, I kind of consider it a second home. And I mean it. Gov, you've done a hell of a job. But Pittsburgh was well on its way before you became governor. I told you, the reason why I fell in love with Pittsburgh back when I was a senior in high school, only two really big schools looked at me for a scholarship to play football. One was Pitt, so I thought it had to be a hell of a school. I thought it had to really be a good school if they'd -- but I went to Delaware. And the first time I came here as a young man, Katie, I was -- I announced for the United States Senate when I was 29 yours old. And there was a big old boy named Emory Woodard who represented what used to be Worth Steel in Claymont, Delaware, my home town, and had somewhere between 5 -, 6,000 workers we had back in those days. And he wanted to endorse me. But no one gave me a chance of possibly beating the most popular guy in the history of the state of Delaware, an 82 percent favorable rating. And I was running with a great guy, but he only got, I think, 32 percent of the vote in Delaware, a guy named George McGovern. And had I been elected, which I was, I was going to be the first Senator I ever knew. And so it wasn't endearing a lot of confidence that I was going to be able to win. But old Emory wouldn't take no for an answer. He used to have a rep in Pennsylvania -- excuse me, in Philadelphia -- Hugh Carcella. And Hugh could not take any more from Emory. Emory was about 6' 6 Promise Me Dad: A Year of Hope, Hardship, and Purpose,' in November 2017. Joe Biden to announce 2020 presidential bid Thursday, reports say Former Vice President Joe Biden will announce Thursday that he is running for president, multiple news outlets are reporting. > > Is Joe Biden running for president in 2020? According to the Washington Post, the Delaware Democrat plans to make his candidacy official in an online campaign video Thursday morning,' a source close to him' said. A fundraiser for Biden, who is originally from Scranton, Penn"
Q4911497," We've been over this a lot of times, I'm happy to go over it again. So, I want to just do a little background. I've been working on these issues since 2002 when I became Chairman of the General Welfare Committee in the City Council. I know the Coalition for the Homeless really, really well. I have immense respect for them. I have disagreed with them more than one time, and I disagree with them now. I'm always astounded when we have this conversation that we don't start with the actual facts on the ground, the things that actually happened. I don't know what's going on here. 100,000 people in the last five years went from shelter to affordable housing -- 100,000 people. Now, I get that good news is not easy to report and I actually don't hold it against you guys, I hold it against your editors, bluntly, much more. But the fact is, 100,000 people already got affordable housing -- that's kind of newsy -- that's not theory, that's not percentages, that's actual human beings. So, I want to give a lot of credit to Homeless Services for the way they've created that, working with all of the rest of the team that works on affordable housing. That already happened and we're going to continue to do that. But look, I care deeply about fixing the problem at the root cause. For the first time, we're able to stop homelessness on a really big level because we're providing lawyers -- you know, real serious numbers of lawyers to stop evictions. We did things like the rent freeze for two years. I mean, these are the ways you stop homelessness to begin with, and we think it's having a big impact. But we have more work to do, but there's no question in my mind that the shelter population is going down because these initiatives are starting to work, and we're going to be doing more. You know we're going to be using eminent domain more and other tools to keep bringing that population down. We're already starting to see this play out with certain hospitals reassigning personnel. I sympathize with both the hospitals and the doctors in this situation. Hospitals are having to take extreme steps to rearrange their systems and workforce. And if they say, Right now, the need is not for plastic surgery services, but for COVID-19 care, I think that's reasonable. On the flipside, though, is the plastic surgeon who maybe isn't comfortable with this -- and that's reasonable too. I've already enlisted through UCLA's enlistment process. They haven't drafted me yet, and I don't know of any of my colleagues who've been drafted, but that may just be a reflection of how well California is currently managing this crisis. I think, ideally, you start this way -- with volunteers who are educated about and have consented to the risks they're taking. And then, if it comes down to it, for the greater public good, you draft -- assuming you're not putting health care workers in the fight without the proper protective equipment, of course. Because who else can people turn to right now? We have a medical education and should be able to help take care of these patients in some way. General surgery is a part of plastic surgery training -- and a significant amount of general surgery training is spent in the ICU. Burn surgery is all basically ICU care -- that falls within the plastic surgery realm. In my second year or residency, I spent a lot of time in the ICU. Of course, there are things I haven't done in years, and I definitely wouldn't be like, Throw me on the vents! Because I could easily hurt someone in that process. But I'd feel comfortable helping in the ICU if I had a bit of a refresher first. On Monday, December 4, 2017 First Lady Chirlane McCray will host the second convening of Cities Thrive, an ever-growing network of nearly 200 cities working together to support a stronger, better funded and more integrated behavioral health system nationwide. Mayor Bill de Blasio will give an address during the second day of the conference. The coalition launched late last year and consists of a bi-partisan group of mayors from all 50 states, Washington, D.C., and Puerto Rico who are committed to driving mental health reform on local and national levels. The coalition expands the key principles for action in NYC's groundbreaking mental health plan, ThriveNYC, led by the First Lady. A few of the coalition's major achievements include working to help pass federal comprehensive mental health reform legislation, additional federal funding to combat the opioid crisis, and defense of the Affordable Care Act. Over the course of two days (Monday, December 4-Tuesday, December 5) the First Lady and Mayor will be joined by agency leaders, elected officials, public health advocates and mental health professionals from across the country to share best practices for driving local change, and encourage a national dialogue that strengthens the public health approach to mental health and substance misuse. Tonight, New York City experienced a very... 10 cool little things to try "
Q434706," We need to talk about what we believe: • We believe that no one should work full time and still live in poverty - and that means raising the minimum wage. • We believe workers have a right to come together, to bargain together and to rebuild America's middle class. • We believe in enforcing labor laws, so that workers get overtime pay and pensions that are fully funded. • We believe in equal pay for equal work. • We believe that after a lifetime of work, people are entitled to retire with dignity, and that means protecting Social Security, Medicare, and pensions. We also need a hard conversation about how we create jobs here in America. We need to talk about how to build a future. So let's say what we believe: • We believe in making investments - in roads and bridges and power grids, in education, in research-investments that create good jobs in the short run and help us build new opportunities over the long run. • And we believe in paying for them-not with magical accounting scams that pretend to cut taxes and raise revenue, but with real, honest-to-goodness changes that make sure that we pay-and corporations pay-a fair share to build a future for all of us. • We believe in trade policies and tax codes that will strengthen our economy, raise our living standards, and create American jobs - and we will never give up on those three words: Made in America. And one more point. If we're ever going to un-rig the system, then we need to make some important political changes. And here's where we start: • We know that democracy doesn't work when congressmen and regulators bow down to Wall Street's political power - and that means it's time to break up the Wall Street banks and remind politicians that they don't work for the big banks, they work for US! Far too many communities have suffered through tragedies like this already. We must act now to end our country's gun violence epidemic. ___ Associated Press writers Will Weissert in Washington and Jonathan Lemire in Bridgewater, New Jersey, contributed to this report. Related The Latest: Williamson says `fine' with vaccine mandates Photo Credit: AP Photo/John Locher Democratic presidential candidate and former Texas Rep. Beto O'Rourke speaks during a public employees union candidate forum Saturday, Aug. 3, 2019, in Las Vegas. Democratic 2020 candidates back gun limits after shooting Photo Credit: AP Photo/John Locher Democratic presidential candidate Sen. Cory Booker, D-N.J., speaks during a public employees union candidate forum Saturday, Aug. 3, 2019, in Las Vegas. Read More St. Johns County deputies asking for information after man's body found in Intracoastal Waterway The St. Johns County Sheriff's Office is asking for any information, after a boater found a man's body floating in the Intracoastal Waterway, near Butler Beach, Friday. Deputies say they need your help identifying who this man is, as there are currently no people reported missing in that area. The man is described by deputies as white, approximately 45 to 55 years of age, with brown hair and a full graying beard. Deputies say he has a small frame, a slender build, and is around 5' 8 No, I believe in markets. I want to get markets to work. I've seen benefits that markets can produce. But understand this; markets without rules are theft. We need markets that have curbs on them, that have rules, so that it's a level playing field. I mean a genuinely level playing field, so that people have a real chance to compete. You know, it's good that we talk about this in the context of taxes, because when we force those who have made it really big in this country just to pay a fair share of taxes, the point is not punitive. The point is to say you had a great idea, you built a great business, good for you, but remember you built that business using workers that all of us paid to educate. You built that business that uses roads and bridges to get your products to market, all of us helped to build those bridges. And we just want to make sure when you make it big, put something back in so the next kid has a chance, and the kid after that and the kid after that. That's what this is about. That trillion dollars that this real corporate profits tax would he raise is money we could spend for universal childcare, money to spend to reduce the student loan dead burden, money we could spend to rebuild our infrastructure, so that we can have more businesses do better in this country, and more families do better. I want to be absolutely clear. I am delighted when workers get more money. I'm glad when it happens at any corporation in America. Yay. But let's be really clear, if these corporations had wanted to do that, they already had plenty of profits to do it. The idea that this is trickle-down economics at work, rather than just plain-old politics is just wrong. The corporate CEOs have already told us what they're going to do with this money. I'll give you an example. Home Depot, right after the Senate passed the tax bill"
